"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"79756723530891264","","","2011-06-12 03:47:39 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Yoko Kanno - Beyond Me","","","",""
"79755487993798657","","","2011-06-12 03:42:44 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Sage Taylor - Out Of Reach","","","",""
"79755425402191872","","","2011-06-12 03:42:29 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - 08 - Brian Adams - Run To You","","","",""
"79754269665923072","","","2011-06-12 03:37:54 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - Jakatta","","","",""
"79753555568893953","","","2011-06-12 03:35:04 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Kevin MacLeod - Faster Does It","","","",""
"79753398961967105","","","2011-06-12 03:34:26 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Kevin MacLeod - Take the Lead","","","",""
"79752413917085697","","","2011-06-12 03:30:31 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: ZZ Top - La Grange","","","",""
"79751427915923456","","","2011-06-12 03:26:36 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Depeche Mode vs Cirez D - personaljesus_vs_onoff_km_mashup02","","","",""
"79750729560104960","","","2011-06-12 03:23:50 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - sodium_final","","","",""
"79747278461603840","","","2011-06-12 03:10:07 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Textural Being - I Felt...","","","",""
"79745483362402304","","","2011-06-12 03:02:59 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Textural Being - Cobalt","","","",""
"79745360150544385","","","2011-06-12 03:02:30 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Aperture Science Psychoacoustics Laboratory - Technical Difficulties","","","",""
